"","l.100km","hubraum","cyl","hp","drat","wt","qsec","vs","am","gear","carb"
"Mazda RX4",11.2006944326088,2621.93024,6,110,3.9,2.62,16.46,"v.engine","manual",4,4
"Mazda RX4 Wag",11.2006944326088,2621.93024,6,110,3.9,2.875,17.02,"v.engine","manual",4,4
"Datsun 710",10.316429082666,1769.802912,4,93,3.85,2.32,18.61,"straight","manual",4,1
"Hornet 4 Drive",10.9913356581675,4227.862512,6,110,3.08,3.215,19.44,"straight","automatic",3,1
"Hornet Sportabout",12.578319951058,5899.34304,8,175,3.15,3.44,17.02,"v.engine","automatic",3,2
"Valiant",12.9952808334135,3687.0894,6,105,2.76,3.46,20.22,"straight","automatic",3,1
"Duster 360",16.4485722436912,5899.34304,8,245,3.21,3.57,15.84,"v.engine","automatic",3,4
"Merc 240D",9.6399419297043,2403.9822888,4,62,3.69,3.19,20,"straight","automatic",4,2
"Merc 230",10.316429082666,2307.2986112,4,95,3.92,3.15,22.9,"straight","automatic",4,2
"Merc 280",12.2507595356659,2746.4719264,6,123,3.92,3.44,18.3,"straight","automatic",4,4
"Merc 280C",13.2143024204935,2746.4719264,6,123,3.92,3.44,18.9,"straight","automatic",4,4
"Merc 450SE",14.342352627121,4519.5522512,8,180,3.07,4.07,17.4,"v.engine","automatic",3,3
"Merc 450SL",13.5962186754211,4519.5522512,8,180,3.07,3.73,17.6,"v.engine","automatic",3,3
"Merc 450SLC",15.474643623999,4519.5522512,8,180,3.07,3.78,18,"v.engine","automatic",3,3
"Cadillac Fleetwood",22.6167868350755,7734.694208,8,205,2.93,5.25,17.98,"v.engine","automatic",3,4
"Lincoln Continental",22.6167868350755,7538.04944,8,215,3,5.424,17.82,"v.engine","automatic",3,4
"Chrysler Imperial",16.000992046584,7210.30816,8,230,3.23,5.345,17.42,"v.engine","automatic",3,4
"Fiat 128",7.25970935446867,1289.6619368,4,66,4.08,2.2,19.47,"straight","manual",4,1
"Honda Civic",7.7373218119995,1240.5007448,4,52,4.93,1.615,18.52,"straight","manual",4,2
"Toyota Corolla",6.93848327683731,1165.1202504,4,65,4.22,1.835,19.9,"straight","manual",4,1
"Toyota Corona",10.9402131667342,1968.0863864,4,97,3.7,2.465,20.01,"straight","automatic",3,1
"Dodge Challenger",15.1751343925668,5211.086352,8,150,2.76,3.52,16.87,"v.engine","automatic",3,2
"AMC Javelin",15.474643623999,4981.667456,8,150,3.15,3.435,17.3,"v.engine","automatic",3,2
"Camaro Z28",17.685306998856,5735.4724,8,245,3.73,3.84,15.41,"v.engine","automatic",3,4
"Pontiac Firebird",12.2507595356659,6554.8256,8,175,3.08,3.845,17.05,"v.engine","automatic",3,2
"Fiat X1-9",8.61591879431446,1294.578056,4,66,4.08,1.935,18.9,"straight","manual",4,1
"Porsche 914-2",9.04671473403019,1971.3637992,4,91,4.43,2.14,16.7,"v.engine","manual",5,2
"Lotus Europa",7.7373218119995,1558.4097864,4,113,3.77,1.513,16.9,"straight","manual",5,2
"Ford Pantera L",14.8869989294168,5751.859464,8,264,4.22,3.17,14.5,"v.engine","manual",5,4
"Ferrari Dino",11.9398265525271,2376.12428,6,175,3.62,2.77,15.5,"v.engine","manual",5,6
"Maserati Bora",15.6809722056523,4932.506264,8,335,3.54,3.57,14.6,"v.engine","manual",5,8
"Volvo 142E",10.9913356581675,1982.834744,4,109,4.11,2.78,18.6,"straight","manual",4,2
